mức_ưu_tiên	vùng_nội_dung	bằng_chứng	loại_khoảng_trống	hướng_xử_lý
1	tự_cảm_thông	14 câu đáng tin cậy; 0 câu phát hành; 0 truyện	khoảng_trống_phát_hành	Rà nội dung sẵn có và chọn ứng viên phù hợp trước khi viết mới
1	cạn_năng_lượng_và_hồi_phục	27 câu cạn năng lượng và 12 câu hồi phục đáng tin cậy; 0 câu phát hành; 0 truyện	khoảng_trống_phát_hành_và_truyện	Tạo một cụm đọc cân bằng giữa nhận biết giới hạn, nghỉ và hồi phục
1	áp_lực_công_việc	23 câu đáng tin cậy; 0 câu phát hành; 0 truyện	khoảng_trống_phát_hành_và_truyện	Ưu tiên nội dung không biến áp lực hệ thống thành lỗi cá nhân
1	gọi_tên_trải_nghiệm	9 câu đáng tin cậy; 0 câu phát hành; 0 truyện	khoảng_trống_chuyển_động	Bổ sung nội dung giúp người dùng tự diễn đạt thay vì chỉ nhận lời khuyên
1	lựa_chọn	19 câu đáng tin cậy; 1 câu phát hành; 0 truyện chính, 2 truyện phụ	khoảng_trống_chuyển_động	Tăng nội dung giữ phần quyết định cho người đọc
2	nhận_biết_cảm_xúc	16 câu đáng tin cậy; 1 câu phát hành; 0 truyện	khoảng_trống_phát_hành	Chọn nội dung quan sát cảm xúc mà không yêu cầu loại bỏ nó
2	quan_hệ_và_cô_đơn	29 câu kết nối đáng tin cậy nhưng chỉ 3 phát hành; cô đơn có 1 câu; không có truyện chính	khoảng_trống_truyện	Ưu tiên truyện về hiện diện, lắng nghe, ranh giới hoặc sửa chữa quan hệ
2	mất_mát	8 câu đáng tin cậy; 0 câu phát hành; chỉ xuất hiện phụ trong 2 truyện	khoảng_trống_phát_hành	Chọn nội dung thừa nhận mất mát, không vội đổi nó thành bài học
2	biết_đủ	27 câu đáng tin cậy; 3 câu phát hành; 0 truyện	khoảng_trống_truyện	Cân nhắc truyện về giới hạn và nhịp sống, không đồng nhất đủ với từ bỏ
2	bản_sắc_khi_công_việc_thay_đổi	10 câu khủng hoảng bản sắc và 16 câu định hướng công việc đáng tin cậy; truyện hiện có chưa trực tiếp xử lý mất giá trị nghề nghiệp	khoảng_trống_chiều_sâu	Phát triển nội dung về giá trị con người không đồng nhất với năng suất
3	sự_hiện_diện	28 câu đáng tin cậy; 4 câu phát hành; 0 truyện	khoảng_trống_truyện_thấp	Chưa cần tăng số quote; chỉ viết truyện nếu có tình huống cụ thể mạnh
3	bất_định	28 câu đáng tin cậy; 8 câu phát hành; 1 truyện chính và 2 truyện phụ	đã_bao_phủ_tốt	Không ưu tiên viết thêm nội dung cùng vai trò
3	đổi_khung_nhìn	54 câu đáng tin cậy; 9 câu phát hành; 1 truyện chính và 1 truyện phụ	đã_bao_phủ_rộng	Tránh thêm nội dung chỉ tạo một góc nhìn mới mà thiếu tự diễn đạt hoặc lựa chọn
3	hành_động	35 câu đáng tin cậy; 9 câu phát hành	có_nguy_cơ_dư	Không tăng lời thúc đẩy hành động chung; ưu tiên gọi tên, làm rõ giá trị và lựa chọn
