mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
a_good_meal_ends_with_enough	quá_tải	biết_đủ	chấp_nhận_giới_hạn	3	cao
applause_ending_is_not_failure	thất_bại	làm_rõ_giá_trị	đặt_lại_giả_định	3	cao
attributed.confucius.book_ii_ch13.action	không_gắn_hoàn_cảnh_cụ_thể	trách_nhiệm	hành_động	4	cao
attributed.dhammapada.verse_006.end	mâu_thuẫn_quan_hệ	mở_rộng_góc_nhìn	buông	3	cao
attributed.laozi.chapter_11.empty_space	không_gắn_hoàn_cảnh_cụ_thể	mở_rộng_góc_nhìn	đổi_khung_nhìn	4	cao
attributed.ma.iv_35.one_day	tìm_ý_nghĩa	biết_đủ	chấp_nhận_giới_hạn	3	trung_bình
attributed.ma.vii_03.worth_pursuit	tìm_ý_nghĩa	làm_rõ_giá_trị	lựa_chọn	4	cao
attributed.ma.x_16.be_one	tìm_ý_nghĩa	trách_nhiệm	hành_động	4	cao
attributed.paulo_coelho.the_alchemist.002	khủng_hoảng_bản_sắc	quyền_tự_chủ	đặt_lại_giả_định	4	cao
attributed.paulo_coelho.the_alchemist.003	định_hướng_công_việc	quyền_tự_chủ	hành_động	1	thấp
attributed.paulo_coelho.the_alchemist.012	tìm_ý_nghĩa	làm_rõ_giá_trị	nhận_ra	2	thấp
attributed.paulo_coelho.the_alchemist.015	không_gắn_hoàn_cảnh_cụ_thể	sự_hiện_diện	đổi_khung_nhìn	2	trung_bình
attributed.paulo_coelho.the_alchemist.036	bất_định	phán_đoán_độc_lập	nhận_ra	1	thấp
attributed.paulo_coelho.the_alchemist.049	định_hướng_công_việc	làm_rõ_giá_trị	làm_rõ_giá_trị	3	trung_bình
attributed.paulo_coelho.the_alchemist.051	định_hướng_công_việc	quyền_tự_chủ	hành_động	1	thấp
attributed.paulo_coelho.the_alchemist.053	bất_định	trách_nhiệm	chấp_nhận_giới_hạn	2	thấp
attributed.paulo_coelho.the_alchemist.057	cô_đơn	kết_nối	đặt_lại_giả_định	1	thấp
attributed.paulo_coelho.the_alchemist.059	bất_định	chịu_đựng_bất_định	chấp_nhận_giới_hạn	1	thấp
attributed.paulo_coelho.the_alchemist.064	tìm_ý_nghĩa	mở_rộng_góc_nhìn	chậm_lại	2	trung_bình
attributed.paulo_coelho.the_alchemist.065	không_gắn_hoàn_cảnh_cụ_thể	mở_rộng_góc_nhìn	kết_nối_lại	2	thấp
bus_ticket_keeps_the_day_of_return	thay_đổi	làm_rõ_giá_trị	lựa_chọn	3	cao
candle_is_seen_when_it_goes_out	mất_mát	biết_đủ	nhận_ra	3	cao
clarity_before_speed	định_hướng_công_việc	làm_rõ_giá_trị	chậm_lại	4	cao
emergency_fund_can_become_breathing_time	áp_lực_công_việc	quyền_tự_chủ	đổi_khung_nhìn	3	cao
keep_the_lamp_when_the_sea_has_waves	bất_định	quyền_tự_chủ	phân_biệt_kiểm_soát	4	cao
meaning_is_often_found_in_how	tìm_ý_nghĩa	làm_rõ_giá_trị	đổi_khung_nhìn	4	cao
morning_thread_gathers_the_days	tìm_ý_nghĩa	làm_rõ_giá_trị	kết_nối_lại	3	cao
new_leaves_do_not_need_an_audience	so_sánh	quyền_tự_chủ	đặt_lại_giả_định	2	cao
old_chair_holds_more_than_wood	mất_mát	kết_nối	kết_nối_lại	3	cao
ordinary_morning_is_a_quiet_gift	mất_mát	biết_đủ	nhận_ra	3	cao
porch_light_marks_the_kind_of_home	mâu_thuẫn_quan_hệ	làm_rõ_giá_trị	làm_rõ_giá_trị	3	cao
small_suitcase_reveals_what_matters	thay_đổi	làm_rõ_giá_trị	lựa_chọn	3	cao
some_footprints_lead_toward_home	quá_tải	làm_rõ_giá_trị	lựa_chọn	4	cao
village_road_contains_a_childhood	mất_mát	kết_nối	kết_nối_lại	3	cao
