mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
anxiety_loop_digest	bất_định	nhận_biết_cảm_xúc	nhận_ra	3	cao
attributed.ma.iv_07.suppress_injury	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	buông	3	trung_bình
attributed.ma.viii_47.judgment_afflicts	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	đặt_lại_giả_định	4	cao
attributed.paulo_coelho.the_alchemist.066	bất_định	chịu_đựng_bất_định	buông	2	thấp
attributed.seneca.letter_13.imagination	bất_định	điều_hòa_cảm_xúc	đặt_lại_giả_định	3	cao
coffee_returns_a_distant_morning	mất_mát	nhận_biết_cảm_xúc	kết_nối_lại	2	trung_bình
curtain_keeps_the_old_smoke	tổn_thương_cảm_xúc	nhận_biết_cảm_xúc	nhận_ra	3	cao
light_gives_the_room_a_shape	tổn_thương_cảm_xúc	nhận_biết_cảm_xúc	gọi_tên	3	cao
name_the_weather_inside	tổn_thương_cảm_xúc	nhận_biết_cảm_xúc	gọi_tên	4	cao
old_song_opens_a_closed_room	mất_mát	nhận_biết_cảm_xúc	kết_nối_lại	2	trung_bình
quiet_house_reveals_the_clock	tổn_thương_cảm_xúc	nhận_biết_cảm_xúc	chậm_lại	3	cao
towel_reveals_what_it_carried	cạn_năng_lượng	nhận_biết_cảm_xúc	nhận_ra	3	cao
water_heats_before_the_kettle_sings	tổn_thương_cảm_xúc	nhận_biết_cảm_xúc	nhận_ra	3	cao
yin_yang_of_emotion	tổn_thương_cảm_xúc	nhận_biết_cảm_xúc	đổi_khung_nhìn	4	cao
