mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
attributed.confucius.book_i_ch01.learning	định_hướng_công_việc	sức_bền	hành_động	3	cao
attributed.confucius.book_vii_ch08.eager	định_hướng_công_việc	trách_nhiệm	hành_động	4	cao
attributed.laozi.chapter_24.tiptoes	quá_tải	biết_đủ	chấp_nhận_giới_hạn	3	cao
attributed.ma.v_01.proper_business	định_hướng_công_việc	trách_nhiệm	làm_rõ_giá_trị	3	trung_bình
attributed.ma.vi_26.duty_elements	áp_lực_công_việc	điều_hòa_cảm_xúc	hành_động	4	cao
attributed.ma.vi_50.good_effort	thất_bại	làm_rõ_giá_trị	đổi_khung_nhìn	4	cao
attributed.paulo_coelho.the_alchemist.017	định_hướng_công_việc	trách_nhiệm	chấp_nhận_giới_hạn	2	trung_bình
attributed.paulo_coelho.the_alchemist.034	thất_bại	quyền_tự_chủ	đặt_lại_giả_định	2	thấp
attributed.paulo_coelho.the_alchemist.042	định_hướng_công_việc	làm_rõ_giá_trị	đặt_lại_giả_định	1	thấp
attributed.paulo_coelho.the_alchemist.052	định_hướng_công_việc	quyền_tự_chủ	đặt_lại_giả_định	1	thấp
attributed.paulo_coelho.the_alchemist.061	định_hướng_công_việc	phán_đoán_độc_lập	lựa_chọn	3	cao
attributed.paulo_coelho.the_alchemist.078	định_hướng_công_việc	quyền_tự_chủ	hành_động	2	trung_bình
carpenter_measures_the_uneven_leg	áp_lực_công_việc	phán_đoán_độc_lập	lựa_chọn	3	cao
chair_is_repaired_for_someone	tìm_ý_nghĩa	kết_nối	làm_rõ_giá_trị	3	cao
cook_still_wants_to_taste_the_soup	cạn_năng_lượng	làm_rõ_giá_trị	nhận_ra	3	cao
do_not_throw_the_stone_into_the_next_persons_lake	mâu_thuẫn_quan_hệ	trách_nhiệm	phân_biệt_kiểm_soát	4	cao
door_opens_more_lightly_from_inside	định_hướng_công_việc	quyền_tự_chủ	lựa_chọn	3	cao
even_stitch_follows_many_undoings	thất_bại	sức_bền	đổi_khung_nhìn	3	cao
hands_know_who_the_work_is_for	tìm_ý_nghĩa	làm_rõ_giá_trị	làm_rõ_giá_trị	4	cao
knife_sharpens_at_the_same_angle	định_hướng_công_việc	sức_bền	hành_động	3	cao
mason_checks_the_string_each_row	áp_lực_công_việc	trách_nhiệm	hành_động	3	cao
not_every_stone_is_yours_to_carry_home	áp_lực_công_việc	phán_đoán_độc_lập	phân_biệt_kiểm_soát	4	cao
price_tag_does_not_show_hours_traded	áp_lực_công_việc	làm_rõ_giá_trị	đổi_khung_nhìn	4	cao
quote.warehouse_path_between_boxes	áp_lực_công_việc	sức_bền	chấp_nhận_giới_hạn	3	cao
small_daily_expense_reaches_month_end	áp_lực_công_việc	trách_nhiệm	nhận_ra	2	cao
