mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
attributed.laozi.chapter_58.fortune_misfortune	bất_định	chịu_đựng_bất_định	giữ_hai_mặt	4	cao
quote.roof_of_many_hands	hồi_phục	kết_nối	đổi_khung_nhìn	2	trung_bình
roof_releases_the_storm_slowly	hồi_phục	tự_cảm_thông	nhận_ra	3	cao
every_long_road_is_crossed_one_meter_at_a_time	quá_tải	quyền_tự_chủ	hành_động	1	cao
attributed.ma.iii_10.present_moment	xao_lãng	sự_hiện_diện	nhận_ra	2	cao
attributed.ma.iv_18.own_actions	so_sánh	trách_nhiệm	phân_biệt_kiểm_soát	2	cao
tea_waits_beside_the_screen	xao_lãng	sự_hiện_diện	chậm_lại	3	cao
attributed.paulo_coelho.the_alchemist.032	không_gắn_hoàn_cảnh_cụ_thể	mở_rộng_góc_nhìn	đặt_lại_giả_định	2	trung_bình
attributed.zhuangzi.chapter_20.change_with_time	thay_đổi	phán_đoán_độc_lập	buông	3	cao
quote.boatman_and_second_mountain	do_dự	quyền_tự_chủ	lựa_chọn	3	trung_bình
seed_grows_out_of_sight	thay_đổi	sức_bền	đổi_khung_nhìn	2	cao
attributed.paulo_coelho.the_alchemist.044	xao_lãng	hiểu_mình	đặt_lại_giả_định	3	trung_bình
attributed.epictetus.ench_05.opinion	tổn_thương_cảm_xúc	nhận_biết_cảm_xúc	đổi_khung_nhìn	3	cao
attributed.paulo_coelho.the_alchemist.020	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	chưa_xác_định	1	thấp
river_carries_the_upstream_rain	tổn_thương_cảm_xúc	tự_cảm_thông	nhận_ra	4	cao
sunlight_finds_the_scratch	tổn_thương_cảm_xúc	hiểu_mình	nhận_ra	3	trung_bình
compass_keeps_direction_not_steps	bất_định	làm_rõ_giá_trị	làm_rõ_giá_trị	4	cao
attributed.paulo_coelho.the_alchemist.037	tìm_ý_nghĩa	chưa_xác_định	chưa_xác_định	1	thấp
the_pauses_were_the_life	tìm_ý_nghĩa	sự_hiện_diện	đổi_khung_nhìn	4	cao
chipped_cup_stays_for_its_story	khủng_hoảng_bản_sắc	tự_cảm_thông	đổi_khung_nhìn	3	cao
attributed.ma.vi_06.best_revenge	mâu_thuẫn_quan_hệ	trách_nhiệm	phân_biệt_kiểm_soát	3	cao
attributed.dhammapada.verse_049.bee	mâu_thuẫn_quan_hệ	kết_nối	kết_nối_lại	2	cao
one_umbrella_keeps_two_steps_together	cô_đơn	kết_nối	kết_nối_lại	3	cao
attributed.ma.vi_48.others_excellence	mâu_thuẫn_quan_hệ	kết_nối	nhận_ra	1	cao
attributed.ma.iv_03.inner_retreat	quá_tải	sự_hiện_diện	chậm_lại	2	cao
quote.laundry_and_two_bells	áp_lực_công_việc	hiểu_mình	gọi_tên	3	trung_bình
energy_has_a_budget	quá_tải	hiểu_mình	gọi_tên	3	cao
dark_room_before_the_body_is_ready	cạn_năng_lượng	hiểu_mình	nhận_ra	3	trung_bình
attributed.zhuangzi.chapter_01.rest_beneath_tree	khủng_hoảng_bản_sắc	biết_đủ	đặt_lại_giả_định	4	cao
attributed.laozi.chapter_02.mutual_arising	bất_định	mở_rộng_góc_nhìn	giữ_hai_mặt	4	cao
comparison_steals_joy	so_sánh	hiểu_mình	đặt_lại_giả_định	2	cao
first_burnt_batch_does_not_erase_the_kitchen	thất_bại	tự_cảm_thông	đổi_khung_nhìn	3	cao
attributed.ma.iv_31.love_your_art	định_hướng_công_việc	làm_rõ_giá_trị	nhận_ra	1	cao
quote.builder_and_shapeless_stones	áp_lực_công_việc	phán_đoán_độc_lập	đặt_lại_giả_định	3	trung_bình
musician_stays_with_one_lost_note	định_hướng_công_việc	sức_bền	hành_động	2	cao
attributed.ma.viii_32.single_acts	quá_tải	quyền_tự_chủ	hành_động	2	cao
