mã_câu	chủ_đề_gốc	loại	kênh	có_truyện	trạng_thái_đánh_giá	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
a_large_task_only_needs_one_first_square	adversity_resilience	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_1	quá_tải	quyền_tự_chủ	hành_động	2	cao
acceptance_is_not_giving_up	adversity_resilience	selflo_original	biên_soạn	không	đã_kiểm_chứng_trong_mẫu_88	hồi_phục	hiểu_mình	chấp_nhận_giới_hạn	2	cao
accepting_the_flood_reveals_the_road_still_open	adversity_resilience	selflo_original	biên_soạn	có	đã_đánh_giá_trong_đợt_1	thay_đổi	mở_rộng_góc_nhìn	chấp_nhận_giới_hạn	3	cao
attributed.epictetus.ench_01.control	adversity_resilience	adapted_wisdom	phát_hành	không	đã_kiểm_chứng_trong_mẫu_88	bất_định	trách_nhiệm	phân_biệt_kiểm_soát	3	cao
attributed.epictetus.ench_08.flow	adversity_resilience	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_1	bất_định	chịu_đựng_bất_định	chấp_nhận_giới_hạn	3	cao
attributed.epictetus.ench_10.use	adversity_resilience	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_1	thất_bại	quyền_tự_chủ	đổi_khung_nhìn	3	cao
attributed.laozi.chapter_23.storm_passes	adversity_resilience	adapted_wisdom	phát_hành	không	đã_đánh_giá_trong_đợt_1	tổn_thương_cảm_xúc	sức_bền	đổi_khung_nhìn	3	cao
attributed.laozi.chapter_58.fortune_misfortune	adversity_resilience	adapted_wisdom	phát_hành	có	đã_quy_đổi_từ_mẫu_36	bất_định	chịu_đựng_bất_định	giữ_hai_mặt	4	cao
attributed.ma.iii_05.stand_upright	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	khủng_hoảng_bản_sắc	quyền_tự_chủ	làm_rõ_giá_trị	4	cao
attributed.ma.iii_12.no_one_hinders	adversity_resilience	adapted_wisdom	biên_soạn	không	đã_đánh_giá_trong_đợt_1	áp_lực_công_việc	quyền_tự_chủ	hành_động	1	thấp
