mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
attributed.confucius.book_i_ch03.fine_words	mâu_thuẫn_quan_hệ	phán_đoán_độc_lập	nhận_ra	3	cao
attributed.confucius.book_xv_ch23.reciprocity	mâu_thuẫn_quan_hệ	trách_nhiệm	lựa_chọn	4	cao
attributed.dhammapada.verse_005.hatred	mâu_thuẫn_quan_hệ	điều_hòa_cảm_xúc	buông	4	cao
attributed.ma.vi_39.adapt_love	mâu_thuẫn_quan_hệ	kết_nối	chấp_nhận_giới_hạn	3	cao
attributed.paulo_coelho.the_alchemist.001	mâu_thuẫn_quan_hệ	hiểu_mình	nhận_ra	3	trung_bình
attributed.paulo_coelho.the_alchemist.010	định_hướng_công_việc	làm_rõ_giá_trị	giữ_hai_mặt	3	trung_bình
attributed.paulo_coelho.the_alchemist.026	không_gắn_hoàn_cảnh_cụ_thể	kết_nối	chấp_nhận_giới_hạn	2	trung_bình
attributed.paulo_coelho.the_alchemist.027	bất_định	kết_nối	chấp_nhận_giới_hạn	2	thấp
attributed.paulo_coelho.the_alchemist.038	định_hướng_công_việc	làm_rõ_giá_trị	giữ_hai_mặt	2	thấp
attributed.paulo_coelho.the_alchemist.070	không_gắn_hoàn_cảnh_cụ_thể	kết_nối	kết_nối_lại	2	trung_bình
attributed.paulo_coelho.the_alchemist.072	bất_định	chịu_đựng_bất_định	buông	2	trung_bình
attributed.paulo_coelho.the_alchemist.083	bất_định	kết_nối	chấp_nhận_giới_hạn	2	thấp
attributed.seneca.letter_03.loyal	mâu_thuẫn_quan_hệ	kết_nối	hành_động	3	cao
attributed.seneca.letter_07.mutual_learning	mâu_thuẫn_quan_hệ	kết_nối	giữ_hai_mặt	4	cao
attributed.seneca.letter_47.people	mâu_thuẫn_quan_hệ	kết_nối	đặt_lại_giả_định	4	cao
bridge_does_not_hold_the_walker	thay_đổi	kết_nối	buông	3	cao
door_stays_where_home_begins	cô_đơn	kết_nối	kết_nối_lại	3	cao
empty_chair_changes_the_table	mất_mát	kết_nối	nhận_ra	3	cao
familiar_cafe_remembers_the_order	cô_đơn	kết_nối	kết_nối_lại	3	cao
lit_window_guides_the_way_home	cô_đơn	kết_nối	kết_nối_lại	3	cao
safe_return_can_help_us_go_farther	bất_định	kết_nối	giữ_hai_mặt	4	cao
small_boundary_is_still_boundary	mâu_thuẫn_quan_hệ	quyền_tự_chủ	lựa_chọn	4	cao
social_layer_digest	tổn_thương_cảm_xúc	kết_nối	nhận_ra	3	cao
someone_calls_at_the_last_stop	bất_định	kết_nối	chấp_nhận_giới_hạn	3	cao
the_opposite_chair_stays_occupied	mâu_thuẫn_quan_hệ	kết_nối	chậm_lại	3	cao
