mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
a_large_task_only_needs_one_first_square	quá_tải	quyền_tự_chủ	hành_động	2	cao
accepting_the_flood_reveals_the_road_still_open	thay_đổi	mở_rộng_góc_nhìn	chấp_nhận_giới_hạn	3	cao
attributed.epictetus.ench_08.flow	bất_định	chịu_đựng_bất_định	chấp_nhận_giới_hạn	3	cao
attributed.epictetus.ench_10.use	thất_bại	quyền_tự_chủ	đổi_khung_nhìn	3	cao
attributed.laozi.chapter_23.storm_passes	tổn_thương_cảm_xúc	sức_bền	đổi_khung_nhìn	3	cao
attributed.ma.iii_05.stand_upright	khủng_hoảng_bản_sắc	quyền_tự_chủ	làm_rõ_giá_trị	4	cao
attributed.ma.iii_12.no_one_hinders	áp_lực_công_việc	quyền_tự_chủ	hành_động	1	thấp
attributed.ma.iv_08.not_worse	thất_bại	làm_rõ_giá_trị	đặt_lại_giả_định	4	cao
attributed.ma.iv_49.brave_bearing	bất_định	sức_bền	đổi_khung_nhìn	3	cao
attributed.ma.iv_49.promontory	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	chậm_lại	3	cao
attributed.ma.v_20.obstruction_progress	thất_bại	quyền_tự_chủ	đổi_khung_nhìn	4	cao
attributed.paulo_coelho.the_alchemist.011	bất_định	sức_bền	đổi_khung_nhìn	2	trung_bình
attributed.paulo_coelho.the_alchemist.031	thất_bại	sức_bền	đổi_khung_nhìn	2	trung_bình
attributed.paulo_coelho.the_alchemist.067	bất_định	quyền_tự_chủ	hành_động	2	trung_bình
attributed.paulo_coelho.the_alchemist.068	mất_mát	mở_rộng_góc_nhìn	đổi_khung_nhìn	2	trung_bình
attributed.paulo_coelho.the_alchemist.075	bất_định	sức_bền	nhận_ra	1	trung_bình
attributed.paulo_coelho.the_alchemist.080	bất_định	sức_bền	nhận_ra	1	trung_bình
attributed.paulo_coelho.the_alchemist.081	bất_định	trách_nhiệm	hành_động	3	cao
calling_mud_dry_changes_nothing	thất_bại	mở_rộng_góc_nhìn	nhận_ra	2	cao
control_layer_digest	quá_tải	phán_đoán_độc_lập	phân_biệt_kiểm_soát	2	cao
knots_loosen_from_the_edge	quá_tải	mở_rộng_góc_nhìn	đổi_khung_nhìn	2	cao
market_reopens_one_stall_at_a_time	hồi_phục	sức_bền	hành_động	2	cao
morning_after_storm_starts_small	hồi_phục	quyền_tự_chủ	hành_động	3	cao
muscle_recovers_during_rest	cạn_năng_lượng	điều_hòa_cảm_xúc	chấp_nhận_giới_hạn	2	trung_bình
new_light_enters_where_branch_broke	mất_mát	mở_rộng_góc_nhìn	đổi_khung_nhìn	3	cao
rain_stopped_before_ground_dried	hồi_phục	chịu_đựng_bất_định	nhận_ra	3	cao
road_dries_from_edge_inward	hồi_phục	sức_bền	chấp_nhận_giới_hạn	2	cao
room_changes_with_one_lamp	quá_tải	quyền_tự_chủ	hành_động	2	cao
roots_check_themselves_after_storm	hồi_phục	hiểu_mình	chậm_lại	3	cao
stuck_door_opens_the_other_way	thất_bại	mở_rộng_góc_nhìn	đặt_lại_giả_định	2	cao
wall_reveals_the_way_around	thất_bại	mở_rộng_góc_nhìn	chấp_nhận_giới_hạn	3	cao
window_fogs_before_clearing	bất_định	chịu_đựng_bất_định	đổi_khung_nhìn	2	cao
