mã_câu	kênh	mức_độ_giữ_lại_sự_tham_gia	vai_trò_thực_tế	đề_xuất	ghi_chú
attributed.ma.iii_12.no_one_hinders	biên_soạn	đóng	rủi_ro_ngữ_cảnh	xem_báo_cáo_6a	Quá ngắn và tuyệt đối
attributed.paulo_coelho.the_alchemist.023	biên_soạn	có_định_hướng	hình_ảnh_đổi_góc_nhìn	kiểm_tra_trùng	Trùng nội dung với `.068`
attributed.paulo_coelho.the_alchemist.075	biên_soạn	có_định_hướng	lời_khẳng_định_ngắn	kiểm_tra_trùng	Bị bao hàm trong `.080`
attributed.paulo_coelho.the_alchemist.080	biên_soạn	có_định_hướng	lời_khẳng_định_ngắn	kiểm_tra_trùng	Bản đầy đủ hơn `.075` nhưng vẫn phụ thuộc ngữ cảnh
every_long_road_is_crossed_one_meter_at_a_time	biên_soạn	có_định_hướng	lời_nhắc_hành_động	giữ	Đơn giản nhưng hữu ích khi quá tải
blinking_cursor_does_not_write_first_line	biên_soạn	mở	lời_nhắc_hành_động	giữ	Hình ảnh ngắn, không quy định nội dung người đọc phải viết
ninety_nine_percent_is_not_finished	biên_soạn	đóng	lời_nhắc_trách_nhiệm	giữ_ưu_tiên_thấp	Đúng ở nhiệm vụ có điểm hoàn tất rõ; không phù hợp với công việc không có điểm kết thúc
pinned_tab_is_not_completed_work	biên_soạn	có_định_hướng	lời_nhắc_trách_nhiệm	giữ	Phân biệt ý định ghi nhớ với hành động đã làm
attributed.paulo_coelho.the_alchemist.055	biên_soạn	đóng	rủi_ro_suy_luận	xem_báo_cáo_6a	Biến đỏ đen thành quy luật
attributed.paulo_coelho.the_alchemist.082	biên_soạn	có_định_hướng	phụ_thuộc_niềm_tin	xem_báo_cáo_6a	Lời mời buông dựa trên vũ trụ luận
attributed.paulo_coelho.the_alchemist.020	biên_soạn	đóng	rủi_ro_cảm_xúc	xem_báo_cáo_6a	Có thể bị hiểu thành đàn áp suy nghĩ khó
attributed.paulo_coelho.the_alchemist.003	biên_soạn	đóng	lời_hứa_tuyệt_đối	xem_báo_cáo_6a	Bỏ qua rào cản thực tế
attributed.paulo_coelho.the_alchemist.036	biên_soạn	đóng	rủi_ro_suy_luận	xem_báo_cáo_6a	Khẳng định lần thứ ba chắc chắn xảy ra
attributed.paulo_coelho.the_alchemist.037	biên_soạn	đóng	lời_hứa_tuyệt_đối	xem_báo_cáo_6a	Đồng nhất theo đuổi vận mệnh với kết quả thuận lợi
attributed.paulo_coelho.the_alchemist.050	biên_soạn	đóng	lời_hứa_tuyệt_đối	giảm_ưu_tiên	Biến mong muốn thành nhiệm vụ trên đời và bỏ qua điều kiện thực tế
attributed.paulo_coelho.the_alchemist.051	biên_soạn	đóng	lời_hứa_và_trùng_lặp	xem_báo_cáo_6a	Bao hàm mệnh đề chính của `.003`
attributed.paulo_coelho.the_alchemist.057	biên_soạn	đóng	khẳng_định_sai	xem_báo_cáo_6a	Đồng nhất có tiền với không cô đơn
attributed.paulo_coelho.the_alchemist.059	biên_soạn	đóng	mảnh_văn_bản	xem_báo_cáo_6a	Chỉ giải nghĩa một thuật ngữ
attributed.seneca.letter_20.deeds	phát_hành	đóng	lời_nhắc_trách_nhiệm	giữ	Ngắn và trực tiếp; phù hợp khi đối chiếu lời nói với hành động, không nên dùng để phủ nhận ý định hoặc hoàn cảnh
attributed.ma.vi_48.others_excellence	biên_soạn	có_định_hướng	lời_mời_trân_trọng	giữ	Hướng sự chú ý về phẩm chất cụ thể của người khác
attributed.paulo_coelho.the_alchemist.035	biên_soạn	có_định_hướng	lời_khẳng_định_về_tình_yêu	giữ_ưu_tiên_thấp	Đẹp trong ngữ cảnh văn học nhưng quá chung để hướng dẫn quan hệ
attributed.paulo_coelho.the_alchemist.071	biên_soạn	đóng	lời_hứa_lãng_mạn	giảm_ưu_tiên	Khẳng định luôn có một người chờ đợi mình; dễ tạo kỳ vọng không có cơ sở
ten_percent_means_recharge	biên_soạn	có_định_hướng	lời_nhắc_hồi_phục	giữ	Ẩn dụ dễ hiểu, không đồng nhất ít năng lượng với thất bại
attributed.dhammapada.verse_103.self_conquest	biên_soạn	đóng	lời_khẳng_định_đạo_đức	giữ_ưu_tiên_thấp	Có giá trị truyền thống nhưng “chiến thắng chính mình” quá rộng nếu thiếu ngữ cảnh
attributed.paulo_coelho.the_alchemist.025	biên_soạn	đóng	lời_nhắc_đạo_đức	giữ_ưu_tiên_thấp	Nhấn trách nhiệm lời nói nhưng dùng đối lập độc hại quá mạnh
attributed.paulo_coelho.the_alchemist.039	biên_soạn	có_định_hướng	mảnh_văn_bản	xem_báo_cáo_6a	Không hoàn thành chuyển động suy ngẫm khi đứng riêng
attributed.paulo_coelho.the_alchemist.054	biên_soạn	đóng	phủ_nhận_rào_cản_thực_tế	giảm_ưu_tiên	Đổ toàn bộ trở ngại cho cá nhân
attributed.ma.iv_31.love_your_art	phát_hành	có_định_hướng	lời_mời_gắn_kết_với_nghề	giữ_có_điều_kiện	Không nên đưa cho người đang bị bóc lột hoặc cần rời một công việc có hại
attributed.paulo_coelho.the_alchemist.014	biên_soạn	đóng	rủi_ro_ý_nghĩa	xem_báo_cáo_6a	Điều kiện hóa việc cuộc sống đáng sống
attributed.paulo_coelho.the_alchemist.042	biên_soạn	đóng	giọng_hạ_thấp	xem_báo_cáo_6a	Không phù hợp khi đứng độc lập
attributed.paulo_coelho.the_alchemist.052	biên_soạn	đóng	lời_hứa_tuyệt_đối	xem_báo_cáo_6a	Tuyên bố lúc nào cũng có thể thực hiện ước mơ
