mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
attributed.laozi.chapter_09.full_vessel	quá_tải	biết_đủ	chấp_nhận_giới_hạn	4	cao
attributed.laozi.chapter_15.muddy_water	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	chậm_lại	4	cao
attributed.ma.vi_11.return_yourself	quá_tải	điều_hòa_cảm_xúc	kết_nối_lại	3	cao
attributed.ma.vii_28.just_calm	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	kết_nối_lại	3	cao
attributed.paulo_coelho.the_alchemist.005	quá_tải	phán_đoán_độc_lập	giữ_hai_mặt	3	cao
attributed.seneca.letter_28.burdens	thay_đổi	hiểu_mình	nhận_ra	4	cao
damp_paper_is_not_the_pens_fault	cạn_năng_lượng	tự_cảm_thông	đổi_khung_nhìn	3	cao
energy_layer_digest	cạn_năng_lượng	nhận_biết_cảm_xúc	nhận_ra	2	cao
enough_for_today	cạn_năng_lượng	biết_đủ	chấp_nhận_giới_hạn	4	cao
faster_clock_does_not_lengthen_day	quá_tải	biết_đủ	chấp_nhận_giới_hạn	2	cao
hands_keep_the_hammers_echo	cạn_năng_lượng	điều_hòa_cảm_xúc	chấp_nhận_giới_hạn	3	cao
house_turns_off_one_window_at_a_time	cạn_năng_lượng	điều_hòa_cảm_xúc	chấp_nhận_giới_hạn	3	cao
kitchen_cools_after_the_flame	cạn_năng_lượng	điều_hòa_cảm_xúc	chấp_nhận_giới_hạn	3	cao
morning_dew_leaves_when_warm	hồi_phục	tự_cảm_thông	chấp_nhận_giới_hạn	3	cao
morning_enters_before_the_alarm	không_gắn_hoàn_cảnh_cụ_thể	sự_hiện_diện	chậm_lại	2	trung_bình
ordinary_day_can_be_recharge	cạn_năng_lượng	biết_đủ	đổi_khung_nhìn	3	cao
rest_is_part_of_rhythm	cạn_năng_lượng	biết_đủ	đổi_khung_nhìn	4	cao
shop_closes_but_street_continues	áp_lực_công_việc	biết_đủ	buông	3	cao
silence_between_notes_belongs_to_music	quá_tải	biết_đủ	đổi_khung_nhìn	3	cao
stars_remain_behind_clouds	tổn_thương_cảm_xúc	chịu_đựng_bất_định	đổi_khung_nhìn	2	trung_bình
streetlight_turns_off_when_unneeded	cạn_năng_lượng	biết_đủ	chấp_nhận_giới_hạn	2	cao
string_needs_enough_tension	cạn_năng_lượng	biết_đủ	giữ_hai_mặt	3	cao
tide_does_not_apologize	cạn_năng_lượng	tự_cảm_thông	chấp_nhận_giới_hạn	4	cao
tired_body_waits_for_the_train	cạn_năng_lượng	tự_cảm_thông	chấp_nhận_giới_hạn	2	cao
wakeful_hours_fill_the_hourglass	cạn_năng_lượng	nhận_biết_cảm_xúc	nhận_ra	2	trung_bình
wallet_lightens_before_bill_disappears	áp_lực_công_việc	chịu_đựng_bất_định	chấp_nhận_giới_hạn	2	trung_bình
water_settles_when_untouched	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	chậm_lại	4	cao
