mã_câu	mức_độ_giữ_lại_sự_tham_gia	vấn_đề_chính	đề_xuất_xử_lý	lý_do
attributed.ma.iii_12.no_one_hinders	đóng	thiếu_ngữ_cảnh	xem_lại_nguồn	Câu tuyệt đối và quá ngắn; chưa biết “việc ấy” là việc gì
attributed.paulo_coelho.the_alchemist.045	có_định_hướng	phụ_thuộc_ngữ_cảnh	giữ_kèm_ngữ_cảnh	Ý về ngôn ngữ tâm hồn còn chỗ cho diễn giải cá nhân nhưng dựa trên khung tôn giáo của tác phẩm
attributed.paulo_coelho.the_alchemist.056	đóng	trao_hướng_đi_cho_dấu_hiệu	giảm_ưu_tiên	Khẳng định con đường đã được vạch sẵn; không trực tiếp nuôi dưỡng phán đoán độc lập
attributed.paulo_coelho.the_alchemist.058	có_định_hướng	quá_trừu_tượng	giữ_kèm_ngữ_cảnh	Có thể gợi chú ý tới điều ngoài câu chữ nhưng chưa đủ rõ khi đứng độc lập
attributed.paulo_coelho.the_alchemist.062	có_định_hướng	quá_trừu_tượng	giảm_ưu_tiên	Khẳng định biểu tượng rộng nhưng không tạo chuyển động suy ngẫm cụ thể
attributed.paulo_coelho.the_alchemist.021	có_định_hướng	câu_khó_hiểu_khi_đứng_riêng	xem_lại_nguồn	Chủ thể, điều mong muốn và mâu thuẫn nội tâm không đủ rõ
attributed.paulo_coelho.the_alchemist.055	đóng	khẳng_định_thiếu_cơ_sở	không_dùng_độc_lập	Biến lần đầu đỏ đen thành quy luật thuận lợi; có nguy cơ khuyến khích suy luận sai
attributed.paulo_coelho.the_alchemist.082	có_định_hướng	phụ_thuộc_niềm_tin	giữ_kèm_ngữ_cảnh	Lời mời buông dựa trên khẳng định mọi sự tồn tại trong tâm linh vũ trụ
coffee_guides_the_hand_to_one_cup	mở	ẩn_dụ_chưa_đủ_rõ	xem_lại_nhãn	Hình ảnh tốt về phản ứng thành thói quen nhưng chưa chỉ rõ hoàn cảnh và giá trị suy ngẫm
attributed.paulo_coelho.the_alchemist.020	đóng	phủ_định_suy_nghĩ_khó	giảm_ưu_tiên	“Gột sạch tư tưởng xấu” dễ bị hiểu thành đàn áp suy nghĩ và cảm xúc
attributed.paulo_coelho.the_alchemist.066	đóng	tiền_định_thay_cho_phán_đoán	giảm_ưu_tiên	Giải lo âu bằng niềm tin mọi diễn biến đã được viết trước
attributed.paulo_coelho.the_alchemist.003	đóng	lời_hứa_tuyệt_đối	giảm_ưu_tiên	Khẳng định vũ trụ sẽ giúp đạt điều mong muốn và bỏ qua rào cản thực tế
attributed.paulo_coelho.the_alchemist.012	có_định_hướng	khẳng_định_phổ_quát	giữ_kèm_ngữ_cảnh	Ý mỗi người có vai trò trong lịch sử có thể gợi ý nghĩa nhưng không được chứng minh trong câu
attributed.paulo_coelho.the_alchemist.036	đóng	quy_luật_mê_tín	không_dùng_độc_lập	Khẳng định lần thứ ba chắc chắn xảy ra từ hai lần trước
attributed.paulo_coelho.the_alchemist.037	đóng	lời_hứa_tuyệt_đối	giảm_ưu_tiên	Đồng nhất theo đuổi vận mệnh với việc đời sống sẽ hào phóng
attributed.paulo_coelho.the_alchemist.051	đóng	gần_trùng_và_lời_hứa_tuyệt_đối	kiểm_tra_trùng	Lặp lại mệnh đề chính của `.003` và thêm khung tâm linh vũ trụ
attributed.paulo_coelho.the_alchemist.053	có_định_hướng	thiếu_ngữ_cảnh	xem_lại_nguồn	“Mọi thứ đều có giá” có nhiều cách hiểu nhưng câu không cho biết loại giá hoặc lựa chọn nào
attributed.paulo_coelho.the_alchemist.057	đóng	khẳng_định_sai_và_tuyệt_đối	không_dùng_độc_lập	“Có tiền thì không đơn độc bao giờ” vừa thiếu cơ sở vừa làm nghèo trải nghiệm cô đơn
attributed.paulo_coelho.the_alchemist.059	đóng	mảnh_văn_bản_không_đủ_ý	không_dùng_độc_lập	Chỉ giải nghĩa một thuật ngữ và không tạo thành một góc nhìn hoàn chỉnh
attributed.paulo_coelho.the_alchemist.065	có_định_hướng	phụ_thuộc_niềm_tin	giữ_kèm_ngữ_cảnh	Định nghĩa trực giác bằng vũ trụ luận của tác phẩm thay vì một trải nghiệm có thể kiểm tra
attributed.paulo_coelho.the_alchemist.027	có_định_hướng	gần_trùng	kiểm_tra_trùng	Là phiên bản ngắn của `.083`; ý về tình yêu thật phụ thuộc ngữ cảnh truyện
