mã_câu	chủ_đề_phát_hành	mức_độ_giữ_lại_sự_tham_gia	mức_rủi_ro	đề_xuất	giới_hạn_diễn_giải
attributed.ma.iv_49.promontory	adversity_resilience	có_định_hướng	trung_bình	giữ_kèm_ngữ_cảnh	Không dùng hình ảnh đứng vững để yêu cầu người đang kiệt sức tiếp tục chịu đựng
attributed.ma.vii_08.future_reason	attention	có_định_hướng	trung_bình	giữ_kèm_ngữ_cảnh	Không dùng để phủ nhận lo âu có căn cứ hoặc nhu cầu chuẩn bị cho tương lai
attributed.ma.iv_07.suppress_injury	emotion	đóng	cao	chủ_sở_hữu_xem_lại	Có thể bị hiểu rằng tổn thương biến mất chỉ cần ngừng gọi tên nó
attributed.epictetus.ench_17.role	meaning_values	đóng	cao	chủ_sở_hữu_xem_lại	Khẳng định vai đời được trao và quyền chọn thuộc nơi khác; xung đột trực tiếp với định hướng quyền tự chủ nếu thiếu bối cảnh
attributed.ma.iv_17.be_good_now	meaning_values	đóng	trung_bình	giữ_kèm_ngữ_cảnh	Lời thúc giục sống tử tế không nên trở thành áp lực đạo đức hoặc phủ nhận sự nghỉ ngơi
attributed.ma.iv_03.inner_retreat	rest_wellbeing	đóng	trung_bình	giữ_kèm_ngữ_cảnh	Không phải ai cũng tìm được nơi an toàn bên trong; người bị sang chấn có thể cần hỗ trợ và môi trường bên ngoài
attributed.seneca.letter_28.burdens	rest_wellbeing	có_định_hướng	trung_bình	giữ_kèm_ngữ_cảnh	Đổi nơi không luôn vô ích; đôi khi môi trường thật sự là nguồn gây hại cần rời đi
attributed.ma.vii_59.fountain_good	self_understanding	có_định_hướng	thấp	giữ	Ẩn dụ về nguồn thiện bên trong mang khung đạo đức rõ nhưng không trực tiếp gây áp đặt hành động
attributed.dhammapada.verse_081.rock	self_understanding	có_định_hướng	trung_bình	giữ_kèm_ngữ_cảnh	Không diễn giải sự vững vàng thành yêu cầu vô cảm trước lời chê hoặc không tiếp nhận phản hồi
attributed.ma.iv_31.love_your_art	work_achievement	có_định_hướng	trung_bình	giữ_kèm_ngữ_cảnh	Không dùng cho người đang bị bóc lột, kiệt sức hoặc cần rời môi trường nghề nghiệp có hại
attributed.ma.vi_19.human_power	work_achievement	đóng	cao	chủ_sở_hữu_xem_lại	Dù có điều kiện “thuộc phần việc đúng đắn”, câu vẫn có thể làm mờ rào cản sức khỏe, xã hội và nguồn lực
attributed.ma.viii_32.single_acts	work_achievement	có_định_hướng	trung_bình	giữ_kèm_ngữ_cảnh	Vế “không ai ngăn được bạn” chỉ đúng với phần hành động nội tại, không đúng với mọi kết quả bên ngoài
