mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
attributed.dhammapada.verse_035.tamed_mind	xao_lãng	sự_hiện_diện	chậm_lại	3	cao
attributed.epictetus.ench_04.prepare	áp_lực_công_việc	trách_nhiệm	chậm_lại	3	cao
attributed.epictetus.ench_20.delay	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	chậm_lại	4	cao
attributed.ma.ii_14.past_future	bất_định	sự_hiện_diện	đặt_lại_giả_định	3	cao
attributed.ma.iii_04.others_affairs	xao_lãng	làm_rõ_giá_trị	lựa_chọn	4	cao
attributed.ma.v_16.mind_colour	xao_lãng	sự_hiện_diện	nhận_ra	3	cao
attributed.ma.viii_36.present_bounds	quá_tải	sự_hiện_diện	chấp_nhận_giới_hạn	4	cao
attributed.paulo_coelho.the_alchemist.006	không_gắn_hoàn_cảnh_cụ_thể	mở_rộng_góc_nhìn	đặt_lại_giả_định	3	cao
attributed.paulo_coelho.the_alchemist.009	không_gắn_hoàn_cảnh_cụ_thể	sự_hiện_diện	chậm_lại	2	trung_bình
attributed.paulo_coelho.the_alchemist.018	xao_lãng	sự_hiện_diện	nhận_ra	2	trung_bình
attributed.paulo_coelho.the_alchemist.024	không_gắn_hoàn_cảnh_cụ_thể	sự_hiện_diện	chậm_lại	3	cao
attributed.paulo_coelho.the_alchemist.029	quá_tải	sự_hiện_diện	chậm_lại	2	trung_bình
attributed.paulo_coelho.the_alchemist.041	so_sánh	sự_hiện_diện	nhận_ra	2	trung_bình
attributed.paulo_coelho.the_alchemist.045	không_gắn_hoàn_cảnh_cụ_thể	hiểu_mình	nhận_ra	3	thấp
attributed.paulo_coelho.the_alchemist.056	do_dự	sự_hiện_diện	nhận_ra	2	thấp
attributed.paulo_coelho.the_alchemist.062	không_gắn_hoàn_cảnh_cụ_thể	sự_hiện_diện	kết_nối_lại	2	thấp
attributed.paulo_coelho.the_alchemist.069	xao_lãng	sự_hiện_diện	nhận_ra	2	trung_bình
attributed.seneca.letter_01.postponing	do_dự	quyền_tự_chủ	hành_động	2	cao
attributed.seneca.letter_02.nowhere	xao_lãng	sự_hiện_diện	chậm_lại	3	cao
blinking_cursor_does_not_write_first_line	do_dự	quyền_tự_chủ	hành_động	1	cao
brain_system_digest	tổn_thương_cảm_xúc	nhận_biết_cảm_xúc	nhận_ra	2	trung_bình
clock_does_not_hurry_when_watched	bất_định	chịu_đựng_bất_định	chấp_nhận_giới_hạn	2	cao
continuous_looking_only_tires_eyes	cạn_năng_lượng	sự_hiện_diện	chấp_nhận_giới_hạn	2	cao
do_not_go_to_work_twice	áp_lực_công_việc	điều_hòa_cảm_xúc	buông	3	cao
eyes_memorize_the_unopened_page	xao_lãng	sự_hiện_diện	nhận_ra	2	cao
maps_hide_the_nearby_door	quá_tải	phán_đoán_độc_lập	chậm_lại	3	cao
needle_reopens_the_same_hole	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	buông	2	trung_bình
pause_is_an_action	do_dự	phán_đoán_độc_lập	chậm_lại	4	cao
peace_does_not_require_a_silent_room	xao_lãng	sự_hiện_diện	làm_rõ_giá_trị	3	cao
pinned_tab_is_not_completed_work	áp_lực_công_việc	trách_nhiệm	hành_động	1	cao
pot_cools_between_lid_checks	bất_định	chịu_đựng_bất_định	buông	2	cao
rain_waits_beneath_city_noise	xao_lãng	sự_hiện_diện	chậm_lại	3	cao
sunlight_crosses_the_floor	xao_lãng	sự_hiện_diện	nhận_ra	2	cao
ten_notifications_are_not_ten_priorities	quá_tải	phán_đoán_độc_lập	lựa_chọn	3	cao
thought_layer_digest	mâu_thuẫn_quan_hệ	mở_rộng_góc_nhìn	đặt_lại_giả_định	2	trung_bình
tomorrow_may_bring_waves_tonight_return_to_breath	bất_định	sự_hiện_diện	chậm_lại	3	cao
tomorrows_stone_does_not_get_lighter_overnight	bất_định	điều_hòa_cảm_xúc	buông	3	cao
too_many_tabs_slow_the_important_one	quá_tải	phán_đoán_độc_lập	lựa_chọn	2	cao
waves_arrive_and_leave	tổn_thương_cảm_xúc	điều_hòa_cảm_xúc	chấp_nhận_giới_hạn	2	cao
