mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
another_persons_measure_cannot_fit_your_life	so_sánh	hiểu_mình	đặt_lại_giả_định	3	cao
another_persons_shoes_hurt	so_sánh	hiểu_mình	đặt_lại_giả_định	2	cao
attributed.confucius.book_ii_ch15.thought	không_gắn_hoàn_cảnh_cụ_thể	phán_đoán_độc_lập	giữ_hai_mặt	4	cao
attributed.confucius.book_ii_ch17.knowledge	bất_định	phán_đoán_độc_lập	chấp_nhận_giới_hạn	4	cao
attributed.confucius.book_iv_ch17.inward	so_sánh	hiểu_mình	nhận_ra	4	cao
attributed.confucius.book_xv_ch20.seek	mâu_thuẫn_quan_hệ	trách_nhiệm	nhận_ra	3	cao
attributed.dhammapada.verse_050.own_deeds	mâu_thuẫn_quan_hệ	trách_nhiệm	nhận_ra	3	cao
attributed.dhammapada.verse_081.rock	so_sánh	làm_rõ_giá_trị	làm_rõ_giá_trị	3	cao
attributed.dhammapada.verse_160.self_lord	khủng_hoảng_bản_sắc	quyền_tự_chủ	lựa_chọn	4	cao
attributed.laozi.chapter_33.know_self	không_gắn_hoàn_cảnh_cụ_thể	hiểu_mình	nhận_ra	4	cao
attributed.ma.ii_06.short_life	so_sánh	làm_rõ_giá_trị	lựa_chọn	4	cao
attributed.ma.ii_08.own_soul	tổn_thương_cảm_xúc	hiểu_mình	nhận_ra	4	cao
attributed.ma.v_11.use_of_soul	tìm_ý_nghĩa	làm_rõ_giá_trị	làm_rõ_giá_trị	4	cao
attributed.ma.vii_15.retain_lustre	so_sánh	làm_rõ_giá_trị	lựa_chọn	4	cao
attributed.ma.vii_59.fountain_good	khủng_hoảng_bản_sắc	hiểu_mình	kết_nối_lại	3	trung_bình
attributed.paulo_coelho.the_alchemist.004	so_sánh	quyền_tự_chủ	làm_rõ_giá_trị	3	cao
attributed.paulo_coelho.the_alchemist.013	định_hướng_công_việc	phán_đoán_độc_lập	nhận_ra	2	thấp
attributed.paulo_coelho.the_alchemist.016	mâu_thuẫn_quan_hệ	hiểu_mình	nhận_ra	3	cao
attributed.paulo_coelho.the_alchemist.033	xao_lãng	quyền_tự_chủ	lựa_chọn	2	trung_bình
attributed.paulo_coelho.the_alchemist.039	định_hướng_công_việc	phán_đoán_độc_lập	nhận_ra	1	thấp
attributed.paulo_coelho.the_alchemist.040	định_hướng_công_việc	phán_đoán_độc_lập	nhận_ra	2	thấp
attributed.paulo_coelho.the_alchemist.048	khủng_hoảng_bản_sắc	quyền_tự_chủ	đặt_lại_giả_định	4	cao
attributed.paulo_coelho.the_alchemist.054	do_dự	quyền_tự_chủ	hành_động	1	trung_bình
attributed.paulo_coelho.the_alchemist.079	bất_định	hiểu_mình	nhận_ra	3	trung_bình
attributed.seneca.letter_78.opinion	tổn_thương_cảm_xúc	mở_rộng_góc_nhìn	đặt_lại_giả_định	3	cao
defense_layer_digest	mâu_thuẫn_quan_hệ	hiểu_mình	nhận_ra	3	cao
first_needle_needs_light_not_blame	thất_bại	tự_cảm_thông	đổi_khung_nhìn	3	cao
gentle_voice_for_the_broken_bowl	thất_bại	tự_cảm_thông	kết_nối_lại	3	cao
gentleness_creates_room	tổn_thương_cảm_xúc	tự_cảm_thông	đổi_khung_nhìn	4	cao
identity_layer_digest	khủng_hoảng_bản_sắc	hiểu_mình	đặt_lại_giả_định	4	cao
marathoner_does_not_chase_sprinter_at_start	so_sánh	hiểu_mình	đặt_lại_giả_định	2	cao
neighboring_light_does_not_dim_this_lamp	so_sánh	tự_cảm_thông	đổi_khung_nhìn	2	cao
old_pattern_not_identity	khủng_hoảng_bản_sắc	hiểu_mình	đặt_lại_giả_định	4	cao
projection_loop_digest	mâu_thuẫn_quan_hệ	hiểu_mình	gọi_tên	3	cao
quote.potter_and_two_hands	tổn_thương_cảm_xúc	tự_cảm_thông	giữ_hai_mặt	3	cao
scratched_table_stays_in_the_home	khủng_hoảng_bản_sắc	tự_cảm_thông	chấp_nhận_giới_hạn	3	cao
shadow_length_depends_on_sun	so_sánh	hiểu_mình	đặt_lại_giả_định	3	cao
trains_leave_together_for_different_cities	so_sánh	hiểu_mình	đổi_khung_nhìn	2	cao
