mã_câu	hoàn_cảnh	năng_lực_được_hỗ_trợ	chuyển_động_suy_ngẫm	độ_sâu	độ_chắc_chắn
attributed.confucius.book_i_ch08.faults	thất_bại	trách_nhiệm	hành_động	3	cao
attributed.dhammapada.verse_080.fashion_self	thay_đổi	quyền_tự_chủ	hành_động	3	cao
attributed.epictetus.ench_12.small	quá_tải	quyền_tự_chủ	hành_động	2	cao
attributed.laozi.chapter_22.complete	thay_đổi	mở_rộng_góc_nhìn	giữ_hai_mặt	3	trung_bình
attributed.laozi.chapter_64.first_step	quá_tải	quyền_tự_chủ	hành_động	3	cao
attributed.ma.iii_02.cracked_loaf	thất_bại	mở_rộng_góc_nhìn	đổi_khung_nhìn	4	cao
attributed.ma.iv_03.change_and_thought	thay_đổi	mở_rộng_góc_nhìn	đặt_lại_giả_định	3	cao
attributed.ma.iv_12.change_course	thay_đổi	phán_đoán_độc_lập	đặt_lại_giả_định	4	cao
attributed.ma.vi_21.truth_change	thất_bại	phán_đoán_độc_lập	đặt_lại_giả_định	4	cao
attributed.ma.vii_02.renew_life	thay_đổi	mở_rộng_góc_nhìn	đổi_khung_nhìn	3	cao
attributed.paulo_coelho.the_alchemist.019	thất_bại	mở_rộng_góc_nhìn	đổi_khung_nhìn	3	cao
attributed.paulo_coelho.the_alchemist.021	định_hướng_công_việc	hiểu_mình	gọi_tên	2	thấp
attributed.paulo_coelho.the_alchemist.022	định_hướng_công_việc	phán_đoán_độc_lập	chấp_nhận_giới_hạn	3	cao
attributed.paulo_coelho.the_alchemist.028	định_hướng_công_việc	trách_nhiệm	hành_động	2	trung_bình
attributed.paulo_coelho.the_alchemist.055	bất_định	phán_đoán_độc_lập	đặt_lại_giả_định	1	thấp
attributed.paulo_coelho.the_alchemist.063	định_hướng_công_việc	làm_rõ_giá_trị	lựa_chọn	2	trung_bình
behavior_layer_digest	thay_đổi	hiểu_mình	nhận_ra	3	cao
burn_mark_maps_the_flame	thất_bại	trách_nhiệm	đổi_khung_nhìn	3	cao
curtain_opens_with_the_alarm	thay_đổi	hiểu_mình	nhận_ra	2	cao
freedom_begins_when_one_path_is_not_the_only_path	thay_đổi	quyền_tự_chủ	đặt_lại_giả_định	4	cao
growth_layer_digest	thay_đổi	mở_rộng_góc_nhìn	nhận_ra	2	trung_bình
habit_arrives_without_knocking	thay_đổi	hiểu_mình	nhận_ra	2	cao
habit_is_a_path_worn_by_feet	thay_đổi	hiểu_mình	nhận_ra	3	cao
hand_finds_the_key_tray	thay_đổi	hiểu_mình	nhận_ra	2	cao
pillow_hollows_across_many_nights	thay_đổi	sức_bền	chấp_nhận_giới_hạn	2	cao
progress_can_be_quiet	thay_đổi	hiểu_mình	nhận_ra	3	cao
quote.baker_and_black_mark	thất_bại	trách_nhiệm	nhận_ra	4	cao
restitching_teaches_the_hand	thất_bại	trách_nhiệm	hành_động	3	cao
unanswered_alarm_teaches_ears_not_to_hear	thay_đổi	trách_nhiệm	nhận_ra	3	cao
worn_step_remembers_many_feet	thay_đổi	mở_rộng_góc_nhìn	nhận_ra	2	trung_bình
wrong_turn_stays_on_the_map	thất_bại	mở_rộng_góc_nhìn	đổi_khung_nhìn	3	cao
